ID fiada	Xi	Yi	Xf	Yf	Tipo	Layer	N£mFiada	ID par	Check	XiDelta	YiDelta	
F010004	19.0252	15.01	24.2152	15.01	LINE	FIADAS	1	P0009		0	0	
F130003	38.3154	17.41	41.8052	17.41	LINE	FIADAS	13	P0008		15	240	
F120003	38.3154	17.21	41.8052	17.21	LINE	FIADAS	12	P0008		15	220	
F110006	39.2654	17.01	41.8052	17.01	LINE	FIADAS	11	P0008		110	200	
F110007	38.3154	17.01	38.3552	17.01	LINE	FIADAS	11	P0008		15	200	
F100006	39.2654	16.81	41.8052	16.81	LINE	FIADAS	10	P0008		110	180	
F100007	38.3154	16.81	38.3552	16.81	LINE	FIADAS	10	P0008		15	180	
F090006	39.2654	16.61	41.8052	16.61	LINE	FIADAS	9	P0008		110	160	
F090007	38.3154	16.61	38.3552	16.61	LINE	FIADAS	9	P0008		15	160	
F080006	39.2654	16.41	41.8052	16.41	LINE	FIADAS	8	P0008		110	140	
F080007	38.3154	16.41	38.3552	16.41	LINE	FIADAS	8	P0008		15	140	
F070005	39.2654	16.21	41.8052	16.21	LINE	FIADAS	7	P0008		110	120	
F070006	38.3154	16.21	38.3552	16.21	LINE	FIADAS	7	P0008		15	120	
F060005	39.2654	16.01	41.8052	16.01	LINE	FIADAS	6	P0008		110	100	
F060006	38.3154	16.01	38.3552	16.01	LINE	FIADAS	6	P0008		15	100	
F050005	39.2654	15.81	41.8052	15.81	LINE	FIADAS	5	P0008		110	80	
F050006	38.3154	15.81	38.3552	15.81	LINE	FIADAS	5	P0008		15	80	
F040005	39.2654	15.61	41.8052	15.61	LINE	FIADAS	4	P0008		110	60	
F040006	38.3154	15.61	38.3552	15.61	LINE	FIADAS	4	P0008		15	60	
F030005	39.2654	15.41	41.8052	15.41	LINE	FIADAS	3	P0008		110	40	
F030006	38.3154	15.41	38.3552	15.41	LINE	FIADAS	3	P0008		15	40	
F020005	39.2654	15.21	41.8052	15.21	LINE	FIADAS	2	P0008		110	20	
F020006	38.3154	15.21	38.3552	15.21	LINE	FIADAS	2	P0008		15	20	
F010005	39.2654	15.01	41.8052	15.01	LINE	FIADAS	1	P0008		110	0	
F010006	38.3154	15.01	38.3552	15.01	LINE	FIADAS	1	P0008		15	0	
F130004	44.8052	17.41	49.8527	17.41	LINE	FIADAS	13	P0007		0	240	
F120004	44.8052	17.21	49.8527	17.21	LINE	FIADAS	12	P0007		0	220	
F110008	48.8052	17.01	49.8527	17.01	LINE	FIADAS	11	P0007		400	200	
F110009	46.4052	17.01	47.5952	17.01	LINE	FIADAS	11	P0007		160	200	
F110010	44.8052	17.01	45.1952	17.01	LINE	FIADAS	11	P0007		0	200	
F100008	48.8052	16.81	49.8527	16.81	LINE	FIADAS	10	P0007		400	180	
F100009	46.4052	16.81	47.5952	16.81	LINE	FIADAS	10	P0007		160	180	
F100010	44.8052	16.81	45.1952	16.81	LINE	FIADAS	10	P0007		0	180	
F090008	48.8052	16.61	49.8527	16.61	LINE	FIADAS	9	P0007		400	160	
F090009	46.4052	16.61	47.5952	16.61	LINE	FIADAS	9	P0007		160	160	
F090010	44.8052	16.61	45.1952	16.61	LINE	FIADAS	9	P0007		0	160	
F080008	48.8052	16.41	49.8527	16.41	LINE	FIADAS	8	P0007		400	140	
F080009	46.4052	16.41	47.5952	16.41	LINE	FIADAS	8	P0007		160	140	
F080010	44.8052	16.41	45.1952	16.41	LINE	FIADAS	8	P0007		0	140	
F070007	48.8052	16.21	49.8527	16.21	LINE	FIADAS	7	P0007		400	120	
F070008	46.4052	16.21	47.5952	16.21	LINE	FIADAS	7	P0007		160	120	
F070009	44.8052	16.21	45.1952	16.21	LINE	FIADAS	7	P0007		0	120	
F060007	48.8052	16.01	49.8527	16.01	LINE	FIADAS	6	P0007		400	100	
