ID bloco;Xi;Yi;Xf;Yf;Tipo;Layer;Lenght;ID fiada;ID par;Check;XiDelta;YiDelta;;
B19000009;67.7489;16.21;67.9389;16.4;POLYLINE;B19;19;F070020;P0002;;260;120;;
B19000010;66.3489;17.01;66.5389;17.2;POLYLINE;B19;19;F110021;P0002;;120;200;;
B19000011;66.3489;16.61;66.5389;16.8;POLYLINE;B19;19;F090021;P0002;;120;160;;
B19000012;66.3489;16.21;66.5389;16.4;POLYLINE;B19;19;F070020;P0002;;120;120;;
B19000013;62.5489;16.81;62.7389;17;POLYLINE;B19;19;F100015;P0003;;375;180;;
B19000014;62.5489;16.41;62.7389;16.6;POLYLINE;B19;19;F080015;P0003;;375;140;;
B19000015;62.5489;16.01;62.7389;16.2;POLYLINE;B19;19;F060014;P0003;;375;100;;
B39000005;73.5489;17.41;73.9389;17.6;POLYLINE;B39C;39;F130007;P0002;;840;240;;
B39000006;73.7489;17.21;74.1389;17.4;POLYLINE;B39;39;F120007;P0002;;860;220;;
B39000007;73.5489;17.01;73.9389;17.2;POLYLINE;B39;39;F110016;P0002;;840;200;;
B39000008;73.7489;16.81;74.1389;17;POLYLINE;B39;39;F100021;P0002;;860;180;;
B39000009;73.5489;16.61;73.9389;16.8;POLYLINE;B39;39;F090021;P0002;;840;160;;
B39000010;73.7489;16.41;74.1389;16.6;POLYLINE;B39;39;F080021;P0002;;860;140;;
B39000011;73.5489;16.21;73.9389;16.4;POLYLINE;B39;39;F070020;P0002;;840;120;;
B39000012;73.7489;16.01;74.1389;16.2;POLYLINE;B39;39;F060020;P0002;;860;100;;
B39000013;73.5489;15.81;73.9389;16;POLYLINE;B39;39;F050014;P0002;;840;80;;
B39000014;73.7489;15.61;74.1389;15.8;POLYLINE;B39;39;F040014;P0002;;860;60;;
B39000015;73.5489;15.41;73.9389;15.6;POLYLINE;B39;39;F030014;P0002;;840;40;;
B39000016;73.7489;15.21;74.1389;15.4;POLYLINE;B39;39;F020016;P0002;;860;20;;
B39000017;73.5489;15.01;73.9389;15.2;POLYLINE;B39;39;F010014;P0002;;840;0;;
B39000018;72.7489;17.41;73.1389;17.6;POLYLINE;B39C;39;F130007;P0002;;760;240;;
B39000019;72.3489;17.41;72.7389;17.6;POLYLINE;B39C;39;F130007;P0002;;720;240;;
B39000020;73.1489;17.41;73.5389;17.6;POLYLINE;B39C;39;F130007;P0002;;800;240;;
B39000021;72.9489;17.21;73.3389;17.4;POLYLINE;B39;39;F120007;P0002;;780;220;;
B39000022;72.5489;17.21;72.9389;17.4;POLYLINE;B39;39;F120007;P0002;;740;220;;
B39000023;73.3489;17.21;73.7389;17.4;POLYLINE;B39;39;F120007;P0002;;820;220;;
B39000024;72.7489;17.01;73.1389;17.2;POLYLINE;B39;39;F110016;P0002;;760;200;;
B39000025;72.3489;17.01;72.7389;17.2;POLYLINE;B39;39;F110016;P0002;;720;200;;
B39000026;73.1489;17.01;73.5389;17.2;POLYLINE;B39;39;F110016;P0002;;800;200;;
B39000027;72.9489;16.81;73.3389;17;POLYLINE;B39;39;F100021;P0002;;780;180;;
B39000028;72.5489;16.81;72.9389;17;POLYLINE;B39;39;F100021;P0002;;740;180;;
B39000029;73.3489;16.81;73.7389;17;POLYLINE;B39;39;F100021;P0002;;820;180;;
B39000030;72.7489;16.61;73.1389;16.8;POLYLINE;B39;39;F090021;P0002;;760;160;;
B39000031;72.3489;16.61;72.7389;16.8;POLYLINE;B39;39;F090021;P0002;;720;160;;
B39000032;73.1489;16.61;73.5389;16.8;POLYLINE;B39;39;F090021;P0002;;800;160;;
B39000033;72.9489;16.41;73.3389;16.6;POLYLINE;B39;39;F080021;P0002;;780;140;;
B39000034;72.5489;16.41;72.9389;16.6;POLYLINE;B39;39;F080021;P0002;;740;140;;
B39000035;73.3489;16.41;73.7389;16.6;POLYLINE;B39;39;F080021;P0002;;820;140;;
B39000036;72.7489;16.21;73.1389;16.4;POLYLINE;B39;39;F070020;P0002;;760;120;;
B39000037;72.3489;16.21;72.7389;16.4;POLYLINE;B39;39;F070020;P0002;;720;120;;
B39000038;73.1489;16.21;73.5389;16.4;POLYLINE;B39;39;F070020;P0002;;800;120;;
B39000039;72.9489;16.01;73.3389;16.2;POLYLINE;B39;39;F060020;P0002;;780;100;;
B39000040;72.5489;16.01;72.9389;16.2;POLYLINE;B39;39;F060020;P0002;;740;100;;
B39000041;73.3489;16.01;73.7389;16.2;POLYLINE;B39;39;F060020;P0002;;820;100;;
B39000042;72.7489;15.81;73.1389;16;POLYLINE;B39;39;F050014;P0002;;760;80;;
B39000043;72.3489;15.81;72.7389;16;POLYLINE;B39;39;F050014;P0002;;720;80;;
B39000044;73.1489;15.81;73.5389;16;POLYLINE;B39;39;F050014;P0002;;800;80;;
B39000045;72.9489;15.61;73.3389;15.8;POLYLINE;B39;39;F040014;P0002;;780;60;;
B39000046;72.5489;15.61;72.9389;15.8;POLYLINE;B39;39;F040014;P0002;;740;60;;
B39000047;73.3489;15.61;73.7389;15.8;POLYLINE;B39;39;F040014;P0002;;820;60;;
